EMP_ID,FIRSTNME,LASTNAME,DEPT,SALARY
101,John,Doe,HR,55000
102,Jane,Smith,IT,62000
103,Robert,Brown,FIN,58000
104,Linda,Johnson,IT,60000
105,Michael,Williams,HR,57000
106,Patricia,Jones,FIN,59000
107,David,Miller,IT,61000
108,Barbara,Davis,HR,54000
109,James,Garcia,FIN,60000
110,Mary,Martinez,IT,63000
111,William,Hernandez,HR,56000
112,Elizabeth,Lopez,FIN,62000
113,Richard,Gonzalez,IT,64000
114,Jennifer,Wilson,HR,55000
115,Charles,Anderson,FIN,61000
116,Susan,Thomas,IT,62500
117,Joseph,Taylor,HR,57000
118,Karen,Moore,FIN,59000
119,Thomas,Jackson,IT,60500
120,Nancy,White,HR,58000
