ID,NAME,DOB,PHONE,EMAIL,SSN,CARD_NO
1,Kelly Davis,1945-11-23,941.711.5716,williamszachary@savage.com,524-47-8542,344968825136347
2,Mark Kramer,1948-02-17,+1-241-929-7704,xreed@smith.com,459-80-4906,4454249876357647
3,Nicole Tucker,1947-10-08,(029)349-7950,frederick53@kim.com,111-34-8845,4615854882285090
4,Leslie Patterson,1936-12-14,(094)718-8922x0587,jeffery73@yahoo.com,817-01-6118,4826787166142774
5,Crystal Estrada,1969-09-11,622-352-8609,boyermichael@yahoo.com,647-99-6980,3514913666637027
6,Carol Snow,1995-02-14,797-554-4512x255,noah39@hotmail.com,054-98-6239,342094955354717
7,Sabrina Tran,2006-03-23,963-714-0061x225,mary24@jones.com,059-13-0265,3588355115942825
8,Justin Pena,1984-04-21,(581)983-5425x18012,brivera@gmail.com,734-12-3671,4563739843050837040
9,Ryan Villarreal,1963-06-17,001-230-355-3243x8281,reginamason@munoz.com,125-90-3948,4269202897218889
10,Connor Smith,1955-07-31,(751)363-5518,sierramendez@franklin.com,062-74-0200,4175551286219970
11,Derrick Johnson,1960-03-13,001-852-946-8219x339,katherine20@gmail.com,249-94-2892,30048282114795
12,Brian Cruz,1944-03-03,+1-242-990-9996,wbrown@lynn-ward.com,854-22-4608,4278078850458
13,Jacqueline Espinoza,1968-01-14,283.020.7488x992,thomasshelton@hotmail.com,616-48-0436,2279474353207522
14,Debra Donaldson,1941-03-22,+1-234-629-5637,brookecunningham@yahoo.com,365-87-9514,3537530906686912
15,Destiny Rowland,1983-07-24,(658)435-9087,michael20@clayton-kim.com,563-01-0758,676393019069
16,Tracy Moon,2005-09-23,001-012-597-9404,mstevenson@gilbert.com,341-83-9585,36670325146775
17,Frances Brown,1937-03-02,+1-258-554-6013x33315,kelly57@hotmail.com,816-52-5089,2270873847158010
18,Tammy Petty,1983-09-04,(501)197-4212,cooperkatelyn@hurst.com,575-01-4196,4024673327552369224
19,Kelly Cummings,1978-07-07,104-802-2701x94918,youngjessica@williams.com,585-19-8887,4510281611034928
20,Nicole Hudson,1969-12-06,001-099-016-4256x7123,williamhartman@hotmail.com,482-13-7803,6504409789779205
